Table 1 
Galaxy Sample


Galaxy	Type	Core	Distance	${M}_{{\rm{BH}}}$	${\mathrm{MAG}}_{{\rm{sph}}}$	${\mathrm{MAG}}_{{\rm{gal}}}$	[3.6]-[4.5]	${M}_{{\rm{*,sph}}}$	
			(Mpc)	$({10}^{8}\quad {M}_{\odot })$	(mag)	(mag)	(mag)	$({10}^{10}\quad {M}_{\odot })$	
(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	
IC 1459	E	yes	28.4	${24}_{-10}^{+10}$	$-{26.15}_{-0.11}^{+0.18}$	-26.15 +or- 0.25	-0.12	${27}_{-4}^{+3}$	
IC 2560	Sp (bar)	no?	40.7	${0.044}_{-0.022}^{+0.044}$	$-{22.27}_{-0.58}^{+0.66}$	-24.76 +or- 0.25	-0.08	${1.0}_{-0.5}^{+0.7}$	
IC 4296	E	yes?	40.7	${11}_{-2}^{+2}$	$-{26.35}_{-0.11}^{+0.18}$	-26.35 +or- 0.25	-0.12	${31}_{-5}^{+3}$	
M31	Sp (bar)	no	0.7	${1.4}_{-0.3}^{+0.9}$	$-{22.74}_{-0.11}^{+0.18}$	-24.67 +or- 0.25	-0.09	${1.5}_{-0.2}^{+0.2}$	
M49	E	yes	17.1	${25}_{-1}^{+3}$	$-{26.54}_{-0.11}^{+0.18}$	-26.54 +or- 0.25	-0.12	${39}_{-6}^{+4}$	
M59	E	no	17.8	${3.9}_{-0.4}^{+0.4}$	$-{25.18}_{-0.11}^{+0.18}$	-25.27 +or- 0.25	-0.09	${14}_{-2}^{+2}$	
M64	Sp	no?	7.3	${0.016}_{-0.004}^{+0.004}$	$-{21.54}_{-0.11}^{+0.18}$	-24.24 +or- 0.25	-0.06	${0.64}_{-0.10}^{+0.07}$	
M81	Sp (bar)	no	3.8	${0.74}_{-0.11}^{+0.21}$	$-{23.01}_{-0.66}^{+0.88}$	-24.43 +or- 0.25	-0.09	${1.9}_{-1.1}^{+1.6}$	
M84	E	yes	17.9	${9.0}_{-0.8}^{+0.9}$	$-{26.01}_{-0.58}^{+0.66}$	-26.01 +or- 0.25	-0.10	${28}_{-13}^{+20}$	
M87	E	yes	15.6	${58.0}_{-3.5}^{+3.5}$	$-{26.00}_{-0.58}^{+0.66}$	-26.00 +or- 0.25	-0.11	${26}_{-12}^{+18}$	
M89	E	yes	14.9	${4.7}_{-0.5}^{+0.5}$	$-{24.48}_{-0.58}^{+0.66}$	-24.74 +or- 0.25	-0.11	${6.3}_{-2.9}^{+4.4}$	
M94	Sp (bar)	no?	4.4	${0.060}_{-0.014}^{+0.014}$	$-{22.08}_{-0.11}^{+0.18}$	$\leqslant -23.36$	-0.07	${1.00}_{-0.15}^{+0.11}$	
M96	Sp (bar)	no	10.1	${0.073}_{-0.015}^{+0.015}$	$-{22.15}_{-0.11}^{+0.18}$	-24.20 +or- 0.25	-0.08	${0.97}_{-0.15}^{+0.11}$	
M104	S0/Sp	yes	9.5	${6.4}_{-0.4}^{+0.4}$	$-{23.91}_{-0.58}^{+0.66}$	-25.21 +or- 0.25	-0.12	${3.4}_{-1.6}^{+2.4}$	
M105	E	yes	10.3	${4}_{-1}^{+1}$	$-{24.29}_{-0.58}^{+0.66}$	-24.29 +or- 0.25	-0.10	${5.6}_{-2.5}^{+3.9}$	
M106	Sp (bar)	no	7.2	${0.39}_{-0.01}^{+0.01}$	$-{21.11}_{-0.11}^{+0.18}$	-24.04 +or- 0.25	-0.08	${0.37}_{-0.06}^{+0.04}$	
NGC 0524	S0	yes	23.3	${8.3}_{-1.3}^{+2.7}$	$-{23.19}_{-0.11}^{+0.18}$	-24.92 +or- 0.25	-0.09	${2.2}_{-0.3}^{+0.2}$	
NGC 0821	E	no	23.4	${0.39}_{-0.09}^{+0.26}$	$-{24.00}_{-0.66}^{+0.88}$	-24.26 +or- 0.25	-0.09	${4.7}_{-2.6}^{+4.0}$	
NGC 1023	S0 (bar)	no	11.1	${0.42}_{-0.04}^{+0.04}$	$-{22.82}_{-0.11}^{+0.18}$	-24.20 +or- 0.25	-0.10	${1.5}_{-0.2}^{+0.2}$	
NGC 1300	Sp (bar)	no	20.7	${0.73}_{-0.35}^{+0.69}$	$-{22.06}_{-0.58}^{+0.66}$	-24.16 +or- 0.25	-0.10	${0.70}_{-0.32}^{+0.49}$	
