Galaxy	Distance	Mbh	Mbh lower	Mbh upper	Morphology	Source
MW	0.008	0.041	0.035	0.047	S	MM13
A1836	157.5	39	33	43	E	MM13
A3565	54.4	14	12	17	E	MM13
Circ	4	0.017	0.014	0.021	S	MM13
IC1459	30.9	27	23	30	E	MM13
N221	0.73	0.026	0.021	0.031	E	MM13
N224	0.73	1.4	1.1	2.2	S	MM13
N524	24.2	8.6	8.2	9.6	S0	MM13
N821	23.4	1.7	0.92	2.4	E	MM13
N1023	10.5	0.4	0.36	0.44	S0	MM13
N1194	55.5	0.68	0.65	0.71	S0	MM13
N1277	73	170	140	200	S0	MM13
N1300	20.1	0.71	0.53	1.05	S	MM13
N1316	21	1.7	1.4	2	E	MM13
N1332	22.7	15	13	17	S0	MM13
N1374	19.6	5.9	5.4	6.4	E	MM13
N1399	20.9	5.1	4.4	5.7	E	MM13
N1399	20.9	13	6.3	18	E	MM13
N1407	29	47	42	56	E	MM13
N1550	53	38	34	42	E	MM13
N2273	26.8	0.078	0.074	0.082	S	MM13
N2549	12.7	0.14	0.1	0.15	S0	MM13
N2787	7.5	0.41	0.36	0.45	S0	MM13
N2960	75.3	0.121	0.116	0.126	S	MM13
N3031	4.1	0.8	0.69	1	S	MM13
N3091	52.7	37	35	38	E	MM13
N3115	9.5	8.9	6.2	14	S0	MM13
N3227	17	0.15	0.07	0.2	S	MM13
N3245	21.5	2.2	1.6	2.7	S0	MM13
N3368	10.6	0.076	0.061	0.092	S	MM13
N3377	11	1.8	0.85	2.7	E	MM13
N3379	10.7	4.2	3.1	5.2	E	MM13
N3384	11.5	0.11	0.059	0.16	S0	MM13
N3393	53.6	0.33	0.31	0.35	S	MM13
N3489	12	0.06	0.051	0.068	S0	MM13
N3585	20.6	3.3	2.7	4.8	S0	MM13
N3607	22.6	1.4	0.9	1.8	E	MM13
N3608	22.8	4.7	3.7	5.7	E	MM13
N3842	98.4	97	72	127	E	MM13
N3998	14.3	8.5	7.8	9.2	S0	MM13
N4026	13.4	1.8	1.5	2.4	S0	MM13
N4258	7	0.367	0.366	0.368	S	MM13
N4261	32.6	5.3	4.2	6.4	E	MM13
N4291	26.6	9.8	6.7	12.9	E	MM13
N4342	23	4.6	3.1	7.2	S0	MM13
N4374	18.5	9.2	8.4	10.2	E	MM13
N4388	19.8	0.088	0.086	0.09	S	MM13
N4459	16	0.7	0.56	0.83	E	MM13
N4472	16.7	24	23	27	E	MM13
N4473	15.2	0.89	0.45	1.34	E	MM13
N4486	16.7	62	58	65	E	MM13
N4486A	18.4	0.14	0.089	0.19	E	MM13
N4526	16.5	4.73	4.6	4.86	S0	MM13
N4564	15.9	0.88	0.64	1.12	S0	MM13
N4594	10	6.7	6.3	7.2	S	MM13
N4596	18	0.84	0.59	1.2	S0	MM13
N4649	16.5	47	37	58	E	MM13
N4697	12.5	2	1.8	2.2	E	MM13
N4736	5	0.068	0.052	0.084	S	MM13
N4751	27.7	14	13	15	E/S0	MM13
N4826	7.3	0.016	0.012	0.02	S	MM13
N4889	103.2	210	55	370	E	MM13
N5077	44.9	8	4.7	13	E	MM13
N5128	4.1	0.59	0.49	0.7	S0/E	MM13
N5328	65.9	48	29	58	E	MM13
N5516	60.1	35	31	37	E	MM13
N5576	25.7	1.7	1.3	2	E	MM13
N5845	25.9	4.9	3.3	6.4	E	MM13
N6086	139.1	38	26	55	E	MM13
N6251	106	6	4	8	E	MM13
N6264	145.4	0.303	0.299	0.308	S	MM13
N6323	110.5	0.098	0.097	0.099	S	MM13
N6861	28.9	21	19	23	E/S0	MM13
N7052	70.9	4	2.4	6.8	E	MM13
N7582	22.3	0.55	0.44	0.71	S	MM13
N7619	53.9	26	23	35	E	MM13
N7768	112.8	13	9	18	E	MM13
U3789	48.4	0.108	0.103	0.114	S	MM13
IC 1459	28.4	24	14	34	E	S16
IC 2560	40.7	0.044	0.022	0.088	Sp (bar)	S16
IC 4296	40.7	11	9	13	E	S16
M31	0.7	1.4	1.1	2.3	Sp (bar)	S16
M49	17.1	25	24	28	E	S16
M59	17.8	3.9	3.5	4.3	E	S16
M64	7.3	0.016	0.012	0.02	Sp	S16
M81	3.8	0.74	0.63	0.95	Sp (bar)	S16
M84	17.9	9	8.2	9.9	E	S16
M87	15.6	58	54.5	61.5	E	S16
M89	14.9	4.7	4.2	5.2	E	S16
M94	4.4	0.06	0.046	0.074	Sp (bar)	S16
M96	10.1	0.073	0.058	0.088	Sp (bar)	S16
M104	9.5	6.4	6	6.8	S0/Sp	S16
M105	10.3	4	3	5	E	S16
M106	7.2	0.39	0.38	0.4	Sp (bar)	S16
NGC 0524	23.3	8.3	7	11	S0	S16
NGC 0821	23.4	0.39	0.3	0.65	E	S16
NGC 1023	11.1	0.42	0.38	0.46	S0 (bar)	S16
NGC 1300	20.7	0.73	0.38	1.42	Sp (bar)	S16
NGC 1316	18.6	1.5	0.7	2.25	merger	S16
NGC 1332	22.3	14	12	16	E/S0	S16
NGC 1374	19.2	5.8	5.3	6.3	E	S16
NGC 1399	19.4	4.7	4.1	5.3	E	S16
NGC 2273	28.5	0.083	0.079	0.087	Sp (bar)	S16
NGC 2549	12.3	0.14	0.01	0.16	S0 (bar)	S16
NGC 2778	22.3	0.15	0.05	0.24	S0 (bar)	S16
NGC 2787	7.3	0.4	0.35	0.44	S0 (bar)	S16
